LoReTT data file
Configuration:
ver 3.808
Station name Name
Radius 500
Focus 770
Deviation threshold 0.4
Deviation step 4
Max. deviation 31
FeedBack disable
ScanLR disable
ScanFB disable
Korr. koeff.=1
TrackInfo:
METOP-C
max elevation 84.20; 135 actual points
Start at 12.03.2020  10:55:59
 Fi       R     Korr    Korr0     P      SNR     N      X      step    err
189.1   485.5   0       0       0.0     0.0     0       1         0     0  
189.0   478.0   0       0       0.0     0.0     0       1         1     0  
188.8   470.9   0       0       0.0     0.0     0       1         2     0  
188.7   463.6   0       0       0.0     0.0     0       1         3     0  
188.6   456.3   0       0       0.0     0.0     0       1         4     0  
188.4   449.1   0       0       0.0     0.0     0       1         5     0  
188.2   441.9   0       0       0.0     0.0     0       1         6     0  
188.1   434.5   0       0       0.0     0.0     0       1         7     0  
187.9   427.4   0       0       0.0     0.0     0       1         8     0  
187.7   420.1   0       0       0.0     0.0     0       1         10     0  
187.5   412.9   0       0       0.0     0.0     0       1         11     0  
187.3   406.0   0       0       0.0     0.0     0       1         12     0  
187.1   398.6   0       0       0.0     0.0     0       1         13     0  
186.9   391.5   0       0       0.0     0.0     0       1         14     0  
186.7   384.5   0       0       0.0     0.0     0       1         15     0  
186.5   377.2   0       0       0.0     0.0     0       1         16     0  
186.3   370.3   0       0       0.0     0.0     0       1         17     0  
186.1   363.2   0       0       0.0     0.0     0       1         18     0  
185.8   356.1   0       0       0.0     0.0     0       1         19     0  
185.6   349.0   0       0       0.0     0.0     0       1         20     0  
185.3   342.0   0       0       0.0     0.0     0       1         21     0  
185.0   335.1   0       0       0.0     0.0     0       1         22     0  
184.7   328.2   0       0       0.0     0.0     0       1         23     0  
184.4   321.0   0       0       0.0     0.0     0       1         24     0  
184.1   314.2   0       0       0.0     0.0     0       1         25     0  
183.8   307.2   0       0       0.0     0.0     0       1         26     0  
183.5   300.2   0       0       0.0     0.0     0       1         27     0  
183.1   293.5   0       0       0.0     0.0     0       1         28     0  
182.7   286.6   0       0       0.0     0.0     0       1         29     0  
182.3   279.7   0       0       0.0     0.0     0       1         31     0  
181.9   272.9   0       0       0.0     0.0     0       1         32     0  
181.5   266.1   0       0       0.0     0.0     0       1         33     0  
181.0   259.1   0       0       0.0     0.0     0       1         34     0  
180.5   252.4   0       0       0.0     0.0     0       1         35     0  
180.0   245.7   0       0       0.0     0.0     0       1         36     0  
179.5   239.1   0       0       0.0     0.0     0       1         37     0  
179.0   232.2   0       0       0.0     0.0     0       1         38     0  
178.3   225.7   0       0       0.0     0.0     0       1         39     0  
177.7   219.1   0       0       0.0     0.0     0       1         40     0  
177.0   212.6   0       0       0.0     0.0     0       1         41     0  
176.3   205.8   0       0       0.0     0.0     0       1         42     0  
175.6   199.4   0       0       0.0     0.0     0       1         43     0  
174.8   192.9   0       0       0.0     0.0     0       1         44     0  
173.9   186.5   0       0       0.0     0.0     0       1         45     0  
172.9   180.1   0       0       0.0     0.0     0       1         46     0  
171.9   173.8   0       0       0.0     0.0     0       1         47     0  
170.9   167.7   0       0       0.0     0.0     0       1         48     0  
169.7   161.3   0       0       0.0     0.0     0       1         49     0  
168.5   155.3   0       0       0.0     0.0     0       1         50     0  
167.1   149.2   0       0       0.0     0.0     0       1         51     0  
165.6   143.4   0       0       0.0     0.0     0       1         52     0  
164.1   137.4   0       0       0.0     0.0     0       1         53     0  
162.3   131.8   0       0       0.0     0.0     0       1         54     0  
160.4   126.1   0       0       0.0     0.0     0       1         55     0  
158.4   120.8   0       0       0.0     0.0     0       1         56     0  
156.1   115.5   0       0       0.0     0.0     0       1         57     0  
153.7   110.5   0       0       0.0     0.0     0       1         58     0  
151.0   105.7   0       0       0.0     0.0     0       1         59     0  
148.1   101.1   0       0       0.0     0.0     0       1         60     0  
144.8   96.8    0       0       0.0     0.0     0       1         61     0  
141.4   92.7    0       0       0.0     0.0     0       1         62     0  
137.6   89.3    0       0       0.0     0.0     0       1         63     0  
133.5   86.1    0       0       0.0     0.0     0       1         64     0  
129.1   83.4    0       0       0.0     0.0     0       1         65     0  
124.5   81.2    0       0       0.0     0.0     0       1         67     0  
119.6   79.6    0       0       0.0     0.0     0       1         68     0  
114.6   78.7    0       0       0.0     0.0     0       1         69     0  
109.5   78.2    0       0       0.0     0.0     0       1         70     0  
104.4   78.4    0       0       0.0     0.0     0       1         71     0  
99.4    79.3    0       0       0.0     0.0     0       1         72     0  
94.4    80.7    0       0       0.0     0.0     0       1         73     0  
89.8    82.7    0       0       0.0     0.0     0       1         74     0  
85.3    85.2    0       0       0.0     0.0     0       1         75     0  
81.1    88.4    0       0       0.0     0.0     0       1         76     0  
77.3    91.8    0       0       0.0     0.0     0       1         77     0  
73.7    95.7    0       0       0.0     0.0     0       1         78     0  
70.4    99.8    0       0       0.0     0.0     0       1         79     0  
67.4    104.3   0       0       0.0     0.0     0       1         80     0  
64.6    109.1   0       0       0.0     0.0     0       1         81     0  
62.1    114.2   0       0       0.0     0.0     0       1         82     0  
59.8    119.4   0       0       0.0     0.0     0       1         83     0  
57.7    124.7   0       0       0.0     0.0     0       1         84     0  
55.8    130.2   0       0       0.0     0.0     0       1         85     0  
54.0    136.0   0       0       0.0     0.0     0       1         86     0  
52.4    141.8   0       0       0.0     0.0     0       1         87     0  
50.9    147.6   0       0       0.0     0.0     0       1         88     0  
49.5    153.6   0       0       0.0     0.0     0       1         89     0  
48.2    159.7   0       0       0.0     0.0     0       1         90     0  
47.0    166.0   0       0       0.0     0.0     0       1         91     0  
45.9    172.1   0       0       0.0     0.0     0       1         92     0  
44.9    178.5   0       0       0.0     0.0     0       1         93     0  
44.0    184.9   0       0       0.0     0.0     0       1         94     0  
43.1    191.3   0       0       0.0     0.0     0       1         95     0  
42.2    197.7   0       0       0.0     0.0     0       1         96     0  
41.5    204.2   0       0       0.0     0.0     0       1         97     0  
40.7    210.9   0       0       0.0     0.0     0       1         98     0  
40.1    217.4   0       0       0.0     0.0     0       1         99     0  
39.4    223.9   0       0       0.0     0.0     0       1         100     0  
38.8    230.8   0       0       0.0     0.0     0       1         101     0  
38.2    237.4   0       0       0.0     0.0     0       1         102     0  
37.7    244.0   0       0       0.0     0.0     0       1         103     0  
37.2    250.9   0       0       0.0     0.0     0       1         104     0  
36.7    257.6   0       0       0.0     0.0     0       1         105     0  
36.2    264.4   0       0       0.0     0.0     0       1         106     0  
35.8    271.2   0       0       0.0     0.0     0       1         107     0  
35.4    278.2   0       0       0.0     0.0     0       1         108     0  
35.0    285.1   0       0       0.0     0.0     0       1         109     0  
34.6    292.0   0       0       0.0     0.0     0       1         110     0  
34.2    298.7   0       0       0.0     0.0     0       1         111     0  
33.9    305.6   0       0       0.0     0.0     0       1         112     0  
33.5    312.7   0       0       0.0     0.0     0       1         113     0  
33.2    319.7   0       0       0.0     0.0     0       1         114     0  
32.9    326.6   0       0       0.0     0.0     0       1         115     0  
32.6    333.5   0       0       0.0     0.0     0       1         116     0  
32.4    340.7   0       0       0.0     0.0     0       1         117     0  
32.1    347.7   0       0       0.0     0.0     0       1         118     0  
31.8    354.7   0       0       0.0     0.0     0       1         119     0  
31.6    361.8   0       0       0.0     0.0     0       1         120     0  
31.3    368.9   0       0       0.0     0.0     0       1         121     0  
31.1    376.1   0       0       0.0     0.0     0       1         122     0  
30.9    383.1   0       0       0.0     0.0     0       1         123     0  
30.7    390.4   0       0       0.0     0.0     0       1         124     0  
30.5    397.4   0       0       0.0     0.0     0       1         125     0  
30.3    404.5   0       0       0.0     0.0     0       1         126     0  
30.1    411.7   0       0       0.0     0.0     0       1         127     0  
29.9    418.9   0       0       0.0     0.0     0       1         128     0  
29.7    426.2   0       0       0.0     0.0     0       1         129     0  
29.5    433.3   0       0       0.0     0.0     0       1         130     0  
29.4    440.7   0       0       0.0     0.0     0       1         131     0  
29.2    447.9   0       0       0.0     0.0     0       1         132     0  
29.1    455.1   0       0       0.0     0.0     0       1         133     0  
Noise level -1
RealTime section
Power level



































































































































SNR



































































































































end
