LoReTT data file
Configuration:
ver 3.808
Station name Name
Radius 500
Focus 770
Deviation threshold 0.4
Deviation step 4
Max. deviation 31
FeedBack disable
ScanLR disable
ScanFB disable
Korr. koeff.=1
TrackInfo:
METEOR-M2 2
max elevation 59.37; 49 actual points
Start at 12.03.2020  14:04:04
 Fi       R     Korr    Korr0     P      SNR     N      X      step    err
267.2   488.7   0       0       0.0     0.0     0       1         0     0  
266.4   486.1   0       0       0.0     0.0     0       1         1     0  
265.6   483.6   0       0       0.0     0.0     0       1         2     0  
264.7   481.1   0       0       0.0     0.0     0       1         3     0  
263.9   479.0   0       0       0.0     0.0     0       1         4     0  
263.1   476.5   0       0       0.0     0.0     0       1         5     0  
262.3   474.6   0       0       0.0     0.0     0       1         6     0  
261.4   472.5   0       0       0.0     0.0     0       1         7     0  
260.6   470.6   0       0       0.0     0.0     0       1         8     0  
259.7   468.8   0       0       0.0     0.0     0       1         9     0  
258.9   467.2   0       0       0.0     0.0     0       1         10     0  
258.0   465.7   0       0       0.0     0.0     0       1         11     0  
257.1   464.2   0       0       0.0     0.0     0       1         12     0  
256.3   463.0   0       0       0.0     0.0     0       1         13     0  
255.4   461.7   0       0       0.0     0.0     0       1         14     0  
254.5   460.5   0       0       0.0     0.0     0       1         15     0  
253.6   459.6   0       0       0.0     0.0     0       1         16     0  
252.7   458.7   0       0       0.0     0.0     0       1         17     0  
251.8   457.8   0       0       0.0     0.0     0       1         18     0  
250.9   457.2   0       0       0.0     0.0     0       1         19     0  
250.0   456.9   0       0       0.0     0.0     0       1         20     0  
249.1   456.3   0       0       0.0     0.0     0       1         21     0  
248.2   456.0   0       0       0.0     0.0     0       1         22     0  
247.3   456.0   0       0       0.0     0.0     0       1         23     0  
246.4   456.0   0       0       0.0     0.0     0       1         24     0  
245.5   456.0   0       0       0.0     0.0     0       1         25     0  
244.6   456.3   0       0       0.0     0.0     0       1         26     0  
243.7   456.6   0       0       0.0     0.0     0       1         27     0  
242.8   456.9   0       0       0.0     0.0     0       1         28     0  
241.9   457.5   0       0       0.0     0.0     0       1         29     0  
241.0   458.1   0       0       0.0     0.0     0       1         30     0  
240.1   459.0   0       0       0.0     0.0     0       1         31     0  
239.2   459.6   0       0       0.0     0.0     0       1         32     0  
238.3   460.8   0       0       0.0     0.0     0       1         33     0  
237.4   461.7   0       0       0.0     0.0     0       1         34     0  
236.5   463.3   0       0       0.0     0.0     0       1         35     0  
235.7   464.5   0       0       0.0     0.0     0       1         36     0  
234.8   466.0   0       0       0.0     0.0     0       1         37     0  
233.9   467.6   0       0       0.0     0.0     0       1         38     0  
233.1   469.1   0       0       0.0     0.0     0       1         39     0  
232.2   470.9   0       0       0.0     0.0     0       1         40     0  
231.4   473.1   0       0       0.0     0.0     0       1         41     0  
230.6   474.9   0       0       0.0     0.0     0       1         42     0  
229.7   477.1   0       0       0.0     0.0     0       1         43     0  
228.9   479.3   0       0       0.0     0.0     0       1         44     0  
228.1   481.8   0       0       0.0     0.0     0       1         45     0  
227.3   484.0   0       0       0.0     0.0     0       1         46     0  
226.5   486.5   0       0       0.0     0.0     0       1         47     0  
Noise level -1
RealTime section
Power level
















































SNR
















































end
